(0, 47, 0)	1	0	23166	49332	28	27
(47, 0, 0)	2	0	46595	25846	21	21
(1, 2, 0)	2	0	39955	39959	40	40
(2, 1, 0)	2	0	35602	28672	30	30
(1, 3, 0)	2	0	41147	79854	39	39
(3, 1, 0)	2	0	80521	23093	36	36
(1, 4, 0)	1	0	39632	72201	38	37
(4, 1, 0)	2	0	59938	16279	25	25
(1, 5, 0)	1	0	17545	44462	27	26
(5, 1, 0)	2	0	31893	6649	25	25
(1, 6, 0)	1	0	60401	66541	41	40
(6, 1, 0)	2	0	11159	5249	8	8
(1, 7, 0)	1	0	8508	29163	17	16
(7, 1, 0)	2	0	26367	10176	17	17
(1, 8, 0)	1	0	54869	69763	44	43
(8, 1, 0)	2	0	26260	14012	21	21
(1, 9, 0)	1	0	21573	51188	33	32
(9, 1, 0)	2	0	32499	13386	24	24
(1, 10, 0)	1	0	47396	66253	44	43
(10, 1, 0)	2	0	26192	20467	30	30
(1, 11, 0)	1	0	4446	7429	17	16
(11, 1, 0)	2	0	13560	11263	21	21
(1, 12, 0)	1	0	18763	56060	25	24
(12, 1, 0)	2	0	21599	6386	21	21
(1, 13, 0)	1	0	28746	77458	32	31
(13, 1, 0)	2	0	41394	13245	21	21
(1, 14, 0)	1	0	50472	60133	42	41
(14, 1, 0)	2	0	22772	8863	18	18
(1, 15, 0)	1	0	26747	84913	35	34
(15, 1, 0)	2	0	37684	10175	21	21
(1, 16, 0)	1	0	29937	83144	34	33
(16, 1, 0)	2	0	34190	5570	17	17
(1, 17, 0)	1	0	19135	39328	20	19
(17, 1, 0)	2	0	19409	5274	12	12
(1, 18, 0)	1	0	8664	20225	21	20
(18, 1, 0)	2	0	14653	9118	20	20
(1, 19, 0)	1	0	15075	64147	26	25
(19, 1, 0)	2	0	66112	10865	26	26
(1, 20, 0)	1	0	24069	64732	21	20
(20, 1, 0)	2	0	85411	15013	26	26
(1, 21, 0)	1	0	15733	18358	24	23
(21, 1, 0)	2	0	10214	5356	14	14
(1, 22, 0)	1	0	10182	60607	31	30
(22, 1, 0)	2	0	40270	8934	16	16
(1, 23, 0)	1	0	18504	112765	28	27
(23, 1, 0)	2	0	71512	9108	18	18
(1, 24, 0)	1	0	12144	28810	17	16
(24, 1, 0)	2	0	7964	8382	10	10
(1, 25, 0)	1	0	4200	3357	13	12
(25, 1, 0)	2	0	2827	2746	8	8
(1, 26, 0)	1	0	6955	44978	14	13
(26, 1, 0)	2	0	64895	18362	15	15
(1, 27, 0)	1	0	7906	1778	9	8
(27, 1, 0)	2	0	2685	12497	15	15
(1, 28, 0)	1	0	17732	9306	20	19
