(5, 7, 0)	1	0	76298	120907	21	20
(7, 5, 0)	2	0	114047	95070	26	26
(5, 8, 0)	2	0	133293	109700	19	19
(8, 5, 0)	1	0	90154	93983	17	16
(5, 9, 0)	2	0	20835	7736	11	11
(9, 5, 0)	1	0	24619	81070	14	13
(6, 7, 0)	1	0	24749	67424	11	10
(7, 6, 0)	1	0	132488	115833	34	33
(6, 8, 0)	2	0	53060	102163	15	15
(8, 6, 0)	1	0	104846	48328	17	16
(6, 9, 0)	2	0	59260	42609	16	16
(9, 6, 0)	1	0	19699	32342	16	15
(7, 8, 0)	2	0	95263	95673	13	13
(8, 7, 0)	1	0	79305	101510	11	10
(7, 9, 0)	2	0	84302	13254	13	13
(9, 7, 0)	1	0	23263	124451	19	18
(8, 9, 0)	1	0	145314	156161	42	41
(9, 8, 0)	1	0	23789	62763	7	6
(0, 1, 1)	2	0	49151	6365	10	10
(1, 0, 1)	2	0	36576	51047	11	11
(0, 2, 1)	1	0	56350	37799	13	12
(2, 0, 1)	2	0	49560	12847	13	13
(0, 3, 1)	1	0	43328	37664	8	7
(3, 0, 1)	2	0	48431	13160	12	12
(0, 4, 1)	1	0	42900	36486	9	8
(4, 0, 1)	2	0	38377	10709	11	11
(0, 8, 1)	2	0	94314	83304	16	16
(8, 0, 1)	1	0	84902	16602	11	10
(0, 9, 1)	2	0	64183	16517	15	15
(9, 0, 1)	1	0	21072	43463	10	9
(1, 2, 1)	2	0	22777	46144	17	17
(2, 1, 1)	2	0	32017	8864	10	10
(1, 3, 1)	2	0	32974	101540	19	19
(3, 1, 1)	2	0	51602	8500	10	10
(1, 4, 1)	1	0	12241	47675	11	10
(4, 1, 1)	2	0	37355	10217	11	11
(1, 8, 1)	2	0	30418	84211	17	17
(8, 1, 1)	1	0	115486	65504	21	20
(1, 9, 1)	2	0	31499	16291	15	15
(9, 1, 1)	1	0	37353	42151	17	16
(2, 3, 1)	1	0	40427	49682	10	9
